"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"wiunatiwma",111,281,2,True,False,23.75829444277282,6.477606813492364,72.7353879332747,0.2389223675478628
"nyvulamru",112,281,2,True,True,18.962016684347063,5.866379490915834,69.06247057699055,0.22189242448735125
"epposnysarapbetar",113,281,2,False,False,23.75829444277282,23.75829444277281,2.990714411220055e-14,1.028058078856894e-16
"suchorsexumowesfo",114,281,2,False,False,23.75829444277283,23.75829444277282,4.4860716168300806e-14,0.0
"enalatsineles",115,281,2,True,False,23.7582944427728,4.729447909846839,80.09348726088575,0.2769164240743268
"ardoro",116,281,2,True,True,49.892498105707766,5.542185325061349,88.89174618332588,0.33335476441948514
"vudichtinechutiniqe",117,281,2,True,True,43.03152185666876,13.255069204160602,69.19683842855673,0.22249701996445484
"ladgioldigotytageh",118,281,2,True,True,14.766738503239143,5.66968639456426,61.60501932555662,0.19018158271963803
"nateqpaquydalji",119,281,2,True,True,29.734870583004202,5.66450269111828,80.94996689053698,0.28176828192570735
"ixobilem",120,1022,2,True,True,14.59333585284752,4.718813802807432,67.6645980714089,0.21567887025147472
"otolonechmegonit",121,1022,2,True,False,13.157917206105964,2.8393750272524847,78.42078664292806,0.2677328404774368
"quaemboizniluganic",122,1022,4,False,False,"","","",""
"echlimiseej",123,1022,2,True,True,12.330808823030617,4.196576040251718,65.96674151322783,0.2083098455262324
"saekep",124,1022,2,True,True,11.713772990321292,3.2231852141388084,72.48379990971294,0.2377205684280263
"echlyidocteniemte",125,1022,8,True,True,"","","",""
"ecenivri",126,1022,2,True,True,17.664181436639897,3.0802604527169,82.56211042801182,0.291206504100414
"nehabazexzic",127,1022,2,True,False,23.75829444277282,8.167775256067193,65.62137372385416,0.20683355292536534
"ingifokraelgaimche",128,1022,1,False,False,"","","",""
"essatetig",129,1022,2,True,True,11.110770012107983,3.1079777020724224,72.02734195122842,0.23555407902195022
"tehsidetegenichurgew",130,1022,1,False,True,"","","",""
"wiunatiwma",131,1022,2,True,True,14.149011110139114,3.298823314856581,76.68513163797957,0.25857263844988265
"nyvulamru",132,1022,2,True,True,11.001880577077818,4.078482832053482,62.92922102289572,0.19557111266707838
"epposnysarapbetar",133,1022,3,False,False,"","","",""
"suchorsexumowesfo",134,1022,4,False,True,"","","",""
"enalatsineles",135,1022,2,True,True,11.677692641733575,2.602039218660462,77.71786517688152,0.2639802189268954
"ardoro",136,1022,2,True,True,11.765340243166827,4.723616022555279,59.85142864611416,0.18318549846208965
"vudichtinechutiniqe",137,1022,2,True,True,11.571793469085259,3.0951493369901684,73.25263931421654,0.24141074710178184
"ladgioldigotytageh",138,1022,2,True,True,11.125612141849865,4.5270939803038175,59.30925936852681,0.18105352866243687
"nateqpaquydalji",139,1022,2,True,True,14.206644900620885,4.197765377398168,70.45209895254925,0.2282100947080137
"ixobilem",140,1255,2,True,True,12.461113083070645,3.9648862704903003,68.18192528982908,0.21796243729703788
