"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"eppiosci",9334,1654,1,False,False,"",""
"ludenkisedadadeldoch",9335,1654,1,False,False,"",""
"lesdohanusre",9336,1654,2,True,False,23.75829444277282,6.995290719733469
"lesdohanusre",9337,1654,2,True,True,11.746978337803402,1.9537906368132703
"ludenkisedadadeldoch",9338,1654,1,False,False,"",""
"lesdohanusre",9339,1654,2,True,True,16.918975718488266,4.448196534462159
"lesdohanusre",9340,1574,2,True,True,29.96335482408608,9.25478722524703
"obtaochronbi",9341,1574,2,True,True,23.489981828852837,12.352112543395465
"itseidlaelextu",9342,1574,1,False,False,"",""
"ludenkisedadadeldoch",9343,1574,2,False,True,32.176925556545456,12.798510774022981
"ditlietan",9344,1574,2,True,True,27.026769718137142,13.709719071880002
"itseidlaelextu",9345,1574,1,False,False,"",""
"itseidlaelextu",9346,1574,1,False,False,"",""
"lesdohanusre",9347,1574,2,True,True,29.87620701181111,8.12618288454696
"ditlietan",9348,1574,2,True,True,24.231769122518312,10.455652548462716
"ludenkisedadadeldoch",9349,1574,2,True,True,25.89260003050839,13.80177653797453
"leohgoeboher",9350,1574,2,True,True,35.37306572694105,20.29031999615469
"obtaochronbi",9351,1574,2,True,True,21.82252480836872,11.913154244812755
"amjamnaquyrwoquduq",9352,1574,2,False,True,32.31117714991286,13.337552200906147
"lesdohanusre",9353,1574,2,True,True,33.403132207172376,8.92761114023265
"eppiosci",9354,1574,4,False,False,"",""
"ludenkisedadadeldoch",9355,1574,2,True,True,26.946866081903163,14.75390590857572
"lesdohanusre",9356,1574,2,True,True,37.19333151437303,11.997988963933246
"lesdohanusre",9357,1574,2,False,True,25.47344006453414,10.429859891673942
"ludenkisedadadeldoch",9358,1574,2,True,True,28.244012167111926,12.013716704573914
"lesdohanusre",9359,1574,2,True,True,28.87099715285931,9.558336718294505
"lesdohanusre",9360,152,2,True,True,6.799900452459383,2.357812518851842
"obtaochronbi",9361,152,2,True,True,19.0634807629681,10.34747374534925
"itseidlaelextu",9362,152,1,False,False,"",""
"ludenkisedadadeldoch",9363,152,1,False,False,"",""
"ditlietan",9364,152,2,False,True,30.73203239785782,14.204666569316776
"itseidlaelextu",9365,152,1,False,False,"",""
"itseidlaelextu",9366,152,1,False,False,"",""
"lesdohanusre",9367,152,2,True,True,7.877556888962999,1.322907497212742
"ditlietan",9368,152,2,False,True,22.28559643436407,10.166288622425418
"ludenkisedadadeldoch",9369,152,1,False,False,"",""
"leohgoeboher",9370,152,1,False,False,"",""
"obtaochronbi",9371,152,2,True,True,9.388060580683154,3.6357954871999447
"amjamnaquyrwoquduq",9372,152,2,False,False,40.11829932428817,23.75829444277282
"lesdohanusre",9373,152,2,True,True,10.744234820712194,2.041292297616012
"eppiosci",9374,152,3,False,False,"",""
"ludenkisedadadeldoch",9375,152,1,False,False,"",""
"lesdohanusre",9376,152,2,True,False,7.5730594712362524,1.6562958019619993
"lesdohanusre",9377,152,1,False,False,"",""
"ludenkisedadadeldoch",9378,152,1,False,False,"",""
"lesdohanusre",9379,152,2,True,True,7.251260717456323,1.5994760569903166
"lesdohanusre",9380,1190,2,True,True,16.567829160685783,4.255894815468727
"obtaochronbi",9381,1190,2,True,True,7.039822235244437,3.0621242460280693
"itseidlaelextu",9382,1190,1,False,False,"",""
"ludenkisedadadeldoch",9383,1190,2,True,True,14.042634457892945,4.2344691435946995
"ditlietan",9384,1190,2,True,True,10.738926942700108,4.029864511591899
"itseidlaelextu",9385,1190,1,False,False,"",""
"itseidlaelextu",9386,1190,1,False,False,"",""
"lesdohanusre",9387,1190,2,True,True,17.202828609235787,4.148599118313051
"ditlietan",9388,1190,2,True,True,11.18132289730929,3.4360495321294082
"ludenkisedadadeldoch",9389,1190,2,True,True,11.824748790306003,3.742532128871408
"leohgoeboher",9390,1190,2,True,True,13.964919944643782,8.629142668761823
"obtaochronbi",9391,1190,2,True,True,9.98008567699737,3.415589189823907
"amjamnaquyrwoquduq",9392,1190,2,True,True,20.077040983938602,5.159781063506469
"lesdohanusre",9393,1190,2,True,True,17.7383567936822,4.567683773086702
"eppiosci",9394,1190,2,False,False,23.75829444277282,23.75829444277281
"ludenkisedadadeldoch",9395,1190,2,True,True,14.12371620090877,5.016526297407408
"lesdohanusre",9396,1190,2,True,True,17.697737649923347,2.7100703068749596
"lesdohanusre",9397,1190,2,True,True,18.31328557805377,3.4868458039060255
"ludenkisedadadeldoch",9398,1190,2,True,True,13.36580866547904,4.459313743930491
"lesdohanusre",9399,1190,2,True,True,18.313285578003192,3.159142037986616
"tiradcharedqiraslesyr",9400,560,2,True,True,16.52861300582105,3.2284648003462446
"ludenkisedadadeldoch",9401,560,2,True,True,16.339870104914745,5.95856866256008
"itseidlaelextu",9402,560,1,False,False,"",""
"obtaochronbi",9403,560,2,True,True,8.518185911259986,3.2916945689235706
"tiradcharedqiraslesyr",9404,560,2,True,True,15.997605869686348,5.094862647513745
"ludenkisedadadeldoch",9405,560,2,True,True,14.830416628652406,5.032345169168455
"lesdohanusre",9406,560,2,True,False,23.75829444277282,2.462086308333808
"nafapotquawaj",9407,560,1,False,False,"",""
