"airway_id","subject_id","task_class","task_id"
69,4,"good",269
93,25,"good",1950
46,18,"good",1357
50,26,"good",2019
120,19,"good",1538
22,7,"good",543
38,21,"good",1775
97,12,"good",1120
114,28,"good",2170
27,11,"good",943
275,19,"good",1640
74,2,"good",128
112,2,"good",155
62,10,"good",834
185,7,"good",688
78,6,"good",526
31,4,"good",238
52,12,"good",1089
52,6,"good",501
31,27,"good",2032
154,13,"good",1247
200,28,"good",2232
114,4,"good",310
88,21,"good",1808
60,7,"good",574
23,12,"good",1062
30,10,"good",808
88,27,"good",2080
80,7,"good",592
125,2,"good",164
104,2,"good",150
75,7,"good",588
383,19,"good",1695
31,8,"good",722
12,5,"good",395
176,18,"good",1472
134,4,"good",327
78,7,"good",591
130,18,"good",1432
106,19,"good",1531
337,19,"good",1668
17,17,"good",1313
57,19,"good",1499
102,13,"good",1205
31,21,"good",1769
18,41,"good",2242
14,8,"good",709
19,41,"good",2243
105,41,"good",2320
12,18,"good",1330
123,41,"good",2333
21,41,"good",2244
134,10,"good",898
103,19,"good",1529
116,25,"good",1973
141,19,"good",1549
44,1,"good",27
55,7,"good",569
41,26,"good",2010
115,10,"good",882
73,27,"good",2068
124,4,"good",319
71,2,"good",125
160,4,"good",346
39,8,"good",728
43,26,"good",2012
38,24,"good",1878
80,6,"good",528
160,10,"good",920
135,10,"good",899
335,19,"good",1667
122,25,"good",1977
34,41,"good",2255
49,8,"good",736
100,8,"good",776
64,25,"good",1928
447,19,"good",1730
46,23,"good",1847
22,11,"good",939
90,13,"good",1195
81,13,"good",1187
64,13,"good",1171
116,10,"good",883
69,7,"good",582
128,25,"good",1983
150,28,"good",2197
125,4,"good",320
167,28,"good",2207
47,6,"good",497
23,27,"good",2026
102,11,"good",1009
111,10,"good",878
71,7,"good",584
11,28,"good",2087
127,10,"good",892
66,41,"good",2286
85,6,"good",533
17,23,"good",1824
190,7,"good",693
79,41,"good",2298
76,41,"good",2295
58,10,"good",831
15,2,"good",80
43,23,"good",1844
54,6,"good",503
87,2,"good",139
10,16,"good",1267
175,7,"good",680
376,19,"good",1693
60,5,"good",428
122,4,"good",317
98,10,"good",867
85,11,"good",994
58,18,"good",1367
41,1,"good",24
35,4,"good",242
40,5,"good",414
124,41,"good",2334
168,28,"good",2208
25,28,"good",2094
173,4,"good",357
99,18,"good",1405
59,11,"good",970
413,19,"good",1712
45,13,"good",1155
164,7,"good",669
304,19,"good",1651
167,7,"good",672
21,21,"good",1761
135,28,"good",2186
31,12,"good",1068
112,18,"good",1417
445,19,"good",1728
183,41,"good",2373
14,18,"good",1332
214,19,"good",1606
195,19,"good",1593
131,10,"good",895
70,10,"good",842
64,21,"good",1794
125,28,"good",2181
360,19,"good",1682
161,28,"good",2203
143,28,"good",2191
103,5,"good",455
170,28,"good",2210
22,41,"good",2245
85,4,"good",284
135,41,"good",2342
58,28,"good",2123
54,10,"good",827
11,21,"good",1753
49,2,"good",103
47,28,"good",2112
34,27,"good",2035
51,16,"good",1302
342,19,"good",1671
37,10,"good",812
14,26,"good",1992
96,25,"good",1953
78,41,"good",2297
91,27,"good",2083
